"","year","age_group_5_years","race_eth","first_degree_hx","age_menarche","age_first_birth","BIRADS_breast_density","current_hrt","menopaus","bmi_group","biophx","breast_cancer_history","count"
"228",2016,7,5,0,1,4,2,0,9,2,0,0,4
"229",2017,12,2,0,2,3,2,0,2,3,1,0,1
"230",2014,9,1,0,9,1,3,1,2,1,0,9,6
"231",2017,10,1,0,9,4,1,0,2,3,1,0,5
"232",2015,7,1,0,1,2,3,0,3,3,1,0,1
"233",2014,6,1,0,2,2,3,0,2,4,1,1,1
"234",2014,7,1,0,9,1,3,1,2,1,0,9,10
"235",2016,8,1,1,9,2,1,0,2,4,0,9,2
"236",2017,4,1,9,2,9,3,0,1,3,0,9,5
"237",2015,7,6,0,9,3,2,0,3,2,0,0,2
"238",2017,6,1,0,9,9,2,0,1,3,1,0,12
"239",2015,4,9,0,0,2,2,0,1,3,0,0,2
"240",2017,4,2,0,1,1,2,0,1,1,0,0,4
"241",2014,6,2,0,1,1,3,9,9,3,1,9,1
"242",2013,10,6,0,9,1,9,0,2,9,0,9,1
"243",2014,6,1,1,1,9,4,0,9,1,1,0,1
"244",2014,13,1,1,1,4,2,0,2,1,0,1,1
"245",2016,8,4,0,9,9,1,0,2,4,0,0,3
"246",2014,9,1,0,9,0,1,0,2,9,1,1,3
"247",2017,2,3,9,9,9,9,0,1,1,9,9,1
"248",2016,11,1,0,9,9,1,9,2,9,1,1,11
"249",2017,8,9,0,9,9,3,9,2,9,1,1,1
"250",2014,6,1,1,9,9,9,0,2,2,0,0,1
"251",2014,4,5,0,9,4,3,0,9,2,0,0,1
"252",2013,8,2,0,9,9,3,0,2,9,1,9,1
"253",2016,8,2,0,0,1,2,0,2,4,0,0,25
"254",2013,7,1,1,9,9,3,1,2,1,0,0,17
"255",2013,7,5,0,0,9,2,0,2,1,1,0,1
"256",2017,5,1,0,1,4,2,0,1,2,0,9,1
"257",2017,8,1,0,1,9,3,0,2,1,0,0,40
"258",2014,10,2,0,1,0,1,9,2,4,0,0,1
"259",2013,8,6,1,1,3,3,0,2,1,0,0,1
"260",2015,8,5,1,2,0,1,0,2,9,0,0,1
"261",2016,9,1,0,9,9,2,1,2,1,1,1,1
"262",2015,5,2,0,1,4,2,0,1,3,0,0,26
"263",2014,4,2,0,9,9,4,0,1,2,0,0,3
"264",2014,6,1,0,9,2,3,0,3,1,0,0,28
